,region,nsp,area_short,fcoh_psig,x,y,meancor,coh_bin,coh_bin_color,cohcex,cv1,cv1_bin,cv1_bin_color,nsigfdr20,meancorfdr20,fdr20_bin,fdr20_bin_color,fdr20_cex,nspsig,ppspsig,ppspsig_bin,ppspsig_bin_color,cohfdr20_cex,nspinter,ppspinter,cv1_cex,pcor.nsigfdr01,meanpcor.fdr01,meanabspcor.fdr01,null.nsigfdr20,null.meancoh.fdr20,nspsignullcohq20,nspsigrcorq1,nspsignullinterfdr20,nspsigrcorq1inter,nspsigfcohq2intra,nspsignullcohq20intra,nspsigrcorq1intra,pe,Shannon,meanaggmt
1,21,73,ANW,2.815829528,-57.51478246,53.42316948,0.621775816,"(0.62,0.63]",#71D78D,1.088790792,98.22081388,"(98,100]",#FF4500,25,0.627586199,"(24,25]",#BABD44,2.5,30,0.410958904,"(0.41,0.42]",#FF9500,1.5,71,0.97260274,5,821,0.181656085,0.530989526,1,0.605969014,2,72,47,73,30,2,73,65.57283591,2.8146025,2.46003035
2,27,122,ANE,2.804498035,-4.910894,72.7679472,0.660456482,"(0.66,0.67]",#FF6E00,3.022824088,77.16420593,"(76,78]",#4EF355,63,0.690166936,"(62,63]",#FF0A00,4.875,60,0.491803279,"(0.49,0.5]",#FF6A00,3.626781769,118,0.967213115,2.029841843,1792,0.11882159,0.517554381,7,0.661342832,14,121,81,122,57,14,118,81.10023019,2.91229647,9.119724
3,31,89,AWC,2.528089888,-63.67231016,21.5200643,0.63360061,"(0.63,0.64]",#AAC355,1.680030513,69.86325602,"(68,70]",#00FFFF,24,0.630371771,"(23,24]",#B2C04C,2.4375,32,0.359550562,"(0.35,0.36]",#E6AD18,1.594666601,84,0.943820225,1,1377,0.29689062,0.531520022,7,0.649644152,13,89,57,89,32,12,89,67.18650049,2.50031371,1.174402133
4,34,73,AEC,2.168949772,-20.45345073,14.32057869,0.623193128,"(0.62,0.63]",#71D78D,1.159656403,77.11759121,"(76,78]",#4EF355,18,0.656232742,"(17,18]",#81D17D,2.0625,25,0.342465753,"(0.34,0.35]",#DEB020,2.473541539,68,0.931506849,2.023266564,944,0.502101742,0.54515282,5,0.675691567,9,72,55,73,24,10,71,40.96056136,2.99383023,2.383068967
5,37,95,MBS,2.239641657,19.71674872,38.13524315,0.650173702,"(0.65,0.66]",#FF9200,2.508685076,71.45830563,"(70,72]",#13FCD4,31,0.66469522,"(30,31]",#EAAC14,2.875,40,0.421052632,"(0.42,0.43]",#FF8F00,2.761135507,93,0.978947368,1.224991111,1388,0.344711055,0.55156996,8,0.664307786,15,94,58,95,36,15,93,60.35838093,3.04095274,1.13353635
6,41,67,ASW,2.668475803,-39.00430353,-30.49736189,0.667578715,"(0.66,0.67]",#FF6E00,3.378935738,81.78814628,"(80,82]",#76EE00,15,0.684057521,"(14,15]",#69D995,1.875,22,0.328358209,"(0.32,0.33]",#CDB631,3.419155708,63,0.940298507,2.682075773,505,0.304680337,0.51686047,2,0.662224349,4,66,47,67,22,4,67,37.56035235,2.67915136,1.148927617
7,47,46,ASE,1.739130435,0.79493105,-30.22035303,0.643907064,"(0.64,0.65]",#E2AF1C,2.195353178,95.00223093,"(94,96]",#FF5D13,3,0.715796282,"(2,3]",#08FCF6,1.125,4,0.086956522,"(0.08,0.09]",#08FCF6,4.497785028,42,0.913043478,4.545999981,274,0.333661593,0.529589232,2,0.641212878,4,46,32,46,4,4,44,63.41631817,2.19300825,1.74978305
8,51,70,IOW,1.946169772,58.34571039,-15.06969718,0.646279541,"(0.64,0.65]",#E2AF1C,2.313977061,82.69746457,"(82,84]",#FFA54F,11,0.658645109,"(10,11]",#48E5B6,1.625,16,0.228571429,"(0.22,0.23]",#7BD383,2.555524885,64,0.914285714,2.810340455,401,0.255460079,0.494404625,3,0.712960991,5,70,51,70,18,6,67,42.96212709,3.41918106,1.954317617
9,57,105,IOE,3.461538462,104.8828051,-27.14420702,0.670027894,"(0.67,0.68]",#FF4900,3.501394707,88.05416791,"(88,90]",#FF8131,65,0.709833587,"(64,65]",#FF0000,5,62,0.59047619,"(0.59,0.6]",#FF3500,4.295145175,97,0.923809524,3.565934906,935,0.335076859,0.510182381,9,0.677548003,16,102,72,105,60,17,103,24.34696307,4.05576096,1.538570317
10,61,105,PNW,2.307692308,150,37.98019856,0.643969309,"(0.64,0.65]",#E2AF1C,2.198465467,70.61380131,"(70,72]",#13FCD4,42,0.677935696,"(41,42]",#FF7800,3.5625,48,0.457142857,"(0.45,0.46]",#FF7F00,3.211107892,104,0.99047619,1.105868819,1718,0.10824134,0.551204003,8,0.678171985,14,104,72,105,47,12,104,56.77820214,3.2836875,12.0046506
11,67,27,PNE,2.564102564,-152.3001946,50.07623563,0.663538586,"(0.66,0.67]",#FF6E00,3.176929294,81.14092824,"(80,82]",#76EE00,1,0.660042404,"[1,2]",#00FFFF,1,2,0.074074074,"[0.07,0.08]",#00FFFF,2.603011394,25,0.925925926,2.590781868,105,0.157198269,0.536497234,1,0.647520215,2,25,17,27,2,2,24,57.38274008,2.03570479,2.0477753
12,71,87,PWC,3.34135258,150,0.41730517,0.664243076,"(0.66,0.67]",#FF6E00,3.212153777,79.54170137,"(78,80]",#62F02A,54,0.690979078,"(53,54]",#FF3900,4.3125,53,0.609195402,"(0.6,0.61]",#FF2F00,3.654382125,79,0.908045977,2.36520153,1025,0.276367856,0.52232603,6,0.668865096,10,87,49,87,51,10,86,27.34216632,3.63621361,3.773652083
13,77,43,PEC,2.325581395,-141.7656706,8.36547395,0.682023207,"(0.68,0.69]",#FF2400,4.101160347,84.31831863,"(84,86]",#FF9945,5,0.715861457,"(4,5]",#18F6E6,1.25,10,0.23255814,"(0.23,0.24]",#83D07B,4.5,40,0.930232558,3.038971435,254,0.129189743,0.522576966,3,0.689819159,5,44,32,43,10,5,42,53.48607214,2.43922813,0.9090202
14,81,39,PSW,6.342780027,-150,-42.65260425,0.678506948,"(0.67,0.68]",#FF4900,3.925347378,75.39323732,"(74,76]",#3BF67F,20,0.71164633,"(19,20]",#91CB6D,2.1875,17,0.435897436,"(0.43,0.44]",#FF8A00,4.356750549,38,0.974358974,1.780036324,253,0.476840951,0.535505931,2,0.69009472,4,37,27,39,17,3,38,62.42006569,3.20943586,0.135741117
15,87,51,PSE,1.803921569,-96.81454431,-28.57603928,0.680737125,"(0.68,0.69]",#FF2400,4.03685625,97.77882462,"(96,98]",#FF5109,4,0.711478735,"(3,4]",#10F9EE,1.1875,8,0.156862745,"(0.15,0.16]",#41E7BD,4.351054892,47,0.921568627,4.937654821,280,0.23773389,0.521399126,NA,NA,NA,48,32,51,8,NA,48,44.70945956,1.10199321,7.9131033
